prompt,completion
B o m. P r o d u To. .............. . ..... ..... .... .... ..,""
"Som deixar um pouco a desejar em relação a outras TVs que tenho até mesmo da própria marca, de resto é uma boa tv","som
tv"
Produto cumpre com o descrito acesso muito fácil de ser usado imagem e som bons,"produto
acesso
imagem
som"
"A descrição do produto é falsa descrevendo que a velocidade de imagem é 120hz quando na verdade ela so tem 60hz deixando muito a desejar na imagem, a tv que eu possuia era uma LG de 6 anos atras e nem era smart, tinha uma imagem muito mais nitida e limpa, não recomendo essa tv se eu soubesse compraria outra até mais barata e com imagem real de 120hz, decepcionado.","descrição
velocidade de imagem
imagem"
"Comprei com preço muito bom, a entrega foi rápida e estamos amando a smart tv!!","preço
entrega
smart tv"
"Eu gostei da Tv ótimo recursos e funcionalidade, a imagem é nítida e boa.","tv
recursos
funcionalidade
imagem"
"Imagem perfeita, fácil de mexer porém o sistema é um pouco lento e trava as vezes.","imagem
sistema"
smart tv lenta internet youtube imagem de video não tão boa minha net live tim e 35 mega vou compra tv lg 32lj600b muito melhor,""
depois de muitas pesquisas fiquei na duvida entre a samsung e a LG acabei comprando a samsung por influencia de alguns familiares e por experiencia pois tenho um tv comum melhor coisa que fiz a tv e completa tem algumas pessoas que não deram sorte a tv foi quebrada ou quebrou depois mais raciocine comigo de cada 10 um cliente teve esse tipo de problema a LG e muito boa mais a samsung tem mais conteúdo Smart.,"tv
samsung"
"Ótimo custo benefício. O único problema é o volume baixo, mas isso faz parte da marca Samsung.","custo benefício
volume"
"amei o tv era tudo que estava faltando em casa é uma tv completa,o netflix é uma maravilha a internet funciona muito bem,agora nem preciso tanto mais do computador.essa tv é tudo de bom recomendadissimo e muito facil de programar sem nemhum problema","tv
tv
netflix
internet
tv
programar"
"Internet dela muito boa. O sistema da TV é bem moderno e inteligente, com várias opções que me deixaram bem feliz. A imagem dela não é perfeita, claro, porque é apenas HD, e não FULL HD. Porém, são imagens muito boas! Ponto negativo: som abafado. Eu sou um usuário bem exigente, claro, mas achei o som dela meio seco, abafado. Não gostei muito do som. É só isso. Nota 7 pro som Recomendo!","internet
sistema
opções
imagem
imagens
som
som
som
som"
Ótima aquisição SHOW! Podem comprar que irão ficar muito satisfeito com o produto.,produto
"A titulo de imediato quando se pega a caixa e depois o produto nas mãos vc acha que ela não sobreviveria a uma ventania. Muito leve, da até medo. Mas funciona tudo como se esperava.",produto
Recomendo o produto para quem quer assistir um programa com uma imagem perfeita.,"produto
imagem"
"É um produto bom, porém as vezes é muito lenta. Principalmente ao ligar ou sair de um aplicativo. Mas a imagem e o som são ótimos.","produto
imagem
som"
"Adorei, ótima imagem, o som deixa um pouco a desejar, fácil instalação custo beneficio eu recomendaria.","imagem
som
instalação
custo beneficio"
"Dependendo para o que se deseja utilizar é um bom produto com imagem e som para um ambiente pequeno, os aplicativos são muito lentos demora em torno de 5 min. para abrir o Netflix e o navegador de internet, as vezes trava, mesmo assim gostei do produto, pois tenho outra 55 pol. da mesma marca.","produto
imagem
som
aplicativos
navegador de internet
produto"
"o produto é bom e a entrega foi feita no prazo atendendo assim as minhas expectativas, recomendo o produto e o vendedor","produto
entrega
produto"
"Essa tv é muito bonita e a imagem excelente. Como minha 1a. smart gostei das funções da internet, porém, não é muito rápido como no computador. Outra coisa o som é fraco. Como comprei p o quarto do meu filho não tem problema, mas comparando com uma velha tv de 20' é muito fraco","imagem
funções da internet
funções da internet
som"
Muito bom produto é uma Samsung nao precisa dizer mais nada,produto
O produto é exatamente como descrito na venda. Super leve e design moderno e versátil. Excelente custo benefício. Funciona em HD com simples antena interna. Recomendo para todos que buscam qualidade e preço acessível.,"produto
design
custo benefício
preço"
Produto entregue antes do prazo previsto nota 10 amei produto recomendo ótima qualidade parabéns pela qualidade e atendimento acompanhei o produto dês do depósito até a entrega obrigado,""
"Estamos muito felizes com a Smart TV LED 32"""" Samsung 32J4300 HD com Conversor Digital 2 HDMI 1 USB Wi-Fi 120Hz. É linda e tem o tamanho ideal para o que precisávamos. Imagem/resolução muito bons. Todas as funções conforme a descrição. Chegou no último dia do prazo de entrega, mas veio em perfeito estado!","smart tv led 32""""
tamanho
imagem/resolução
funções
prazo de entrega"
"A imagem do YouTube não é nítida! Espero que seja algum erro de configuração, mas até agora eu não consegui ajustar.",imagem do youtube
Pesquisei muito antes de comprar e optei pela sansung 32 otimo produto imagem surpreendente som otimo vi comentarios que som era baixo nao e muito bom chegou antes da data estou satisfeita,"produto
imagem
som"
"tudo funcionando bem, ate agora satisfeito, apenas os encaixes para colocar os parafusos no suporte de parede nao serviram...",encaixes para colocar os parafusos
"A TELEVISÃO É ÓTIMA: BOA IMAGEM, NÃO TRAVA QUANDO USA A INTERNET E O SOM É BEM ALTO. PRA MIM O ÚNICO DEFEITO FOI O SUPORTE QUE É MUITO FRÁGIL, PREFERI NÃO ME ARRISCAR E COMPREI UM SUPORTE PARA COLOCÁ-LA NA PAREDE. MAS É UM ÓTIMO APARELHO.","televisão
imagem
internet
som
suporte
aparelho"
"A TV e muito lenta custa a abri os app, quando desliga da tomada aí demora mais ainda para carregar novament",tv
"A Samsung por sua vez já tem o seu status de qualidade indiscutível, com o advento do sistema híbrido de TV adotado, a SMART TV, não deixa dúvida quanto a sua distinção entre suas congêneres.",""
"O Custo foi muito bom e a qualidade do produto é excelente, a nitidez da imagem é impressionante, super recomendo. Americanas entregou em perfeito estado, e no prazo prometido.","custo
produto
nitidez da imagem"
"O produto é regular, tenho outra sansung que embora seja mais antiga, eu achei melhor. O som deixa a desejar","produto
som"
"EXCELENTE PRODUTO E A ENTREGA MELHOR AINDA, ESTÁ DE PARABENS TODOS QUE FAZEM AS AMERICANAS.COM","produto
entrega"
"O produto é excelente, uma das melhores marcas do mercado... A velocidade de acesso às funções de smart tv é bem razoável, tratando se de um aparelho nao tao caro., Entretanto, um ponto negativo são os pés(base) para quem for utilizá-lo em cima de algum objeto, rack ou estante, pois são 2 pés separados, um em cada ponta do objeto e um pouco fracos.","produto
funções de smart tv
pés"
"Já tinha uma televisão Sansung e gostava, por isso resolvi comprar novamente da mesma marca, porém esse modelo é muito inferior, o som é ruim, muito baixo e o acesso ao usb é super lento. Resumindo, fiquei decepcionada com o produto.","modelo
som
usb
produto"
O produto satisfez plenamente nossas expectativas. Basta ligar e começar a usar . Foi entregue em perfeitas condições antes do prazo estipulado no site.,produto
Distorção de cores na diagonal . Manual com letras muito pequenas.,manual
Excelente Produto. É a terceira Smart TV Samsung que adquiri.,produto
"A tv e bem leve e compacta. Executa o smart hub sem problemas. Liga bem rapido. So deixa a desejar no som, que na minha opiniao bem fraquinho, alem de ser baixo, mas para um quarto, esta bom.. A entrega foi super rápida!","smart hub
som
som
entrega"
"Comprei no site da Americanas, foi tudo perfeito. ENTREGA ANTES DO PRAZO, RECEBI MEIA HORA ANTES DO JOGO DO BRASIL!! A tv é perfeita em tudo, vem tudo certinho, toda lacrada, impecável! Áudio, imagem, apps, wifi, internet.... eh um celular gigante.... amei RECOMENDO MUITO /SUPER RECOMENDO","entrega
tv"
O produto é bom e vale a pena comprar! Ainda mais que peguei um promoção com 10% de desconto.,produto
"É uma TV boa na questão do preço, tenhe boa qualidade , excelente imagem o áudio não é uns dos melhores é um pouco lenta como Smart, mas mesmo assim funciona bem.","tv
preço
imagem
áudio
smart"
Sou de SC e chegou em 4 dias .... A entrega mais rápida que ja vi... Em perfeitas condições... Parabéns ao Shoptime..,entrega
"A televisão atende às expectativas mas logo assim que acabou a garantia de 1 ano, ela já deu problema e o valor estimado do conserto foi equivalente à metade do valor da TV.",televisão
"oTIMO CUSTO BENEFICIO,IMAGEM PERFEITA, E A ENTREGA SUPER RAPIDA,ANTES DO PRAZO.","custo beneficio
imagem
entrega"
"Ótima TV, superou minhas expectativas. Simples e fácil de usar, imagem, som, conexão e tudo mais. Estou satisfeita!",""
"Compra maravilhosa. Como sempre a lojas Americanas surpreende. Comprei a tv no domingo dia 24 de abril e recebi na quarta dia 27 de abril, e olha que moro no interior de MG. Produto muito bem embalado. Melhor preço e entrega. Adorei a compra e recomendo.","preço
entrega"
Produto atendeu minhas expectativas. Muito Boa a Qualidade e funções oferecidas.,"produto
funções"
porem estou sem tempo quase nao estou parando em casa para ficar configurando e vendo o que ela me ajudaria sendo na parte Smart pois a imagem e audio estao otimos falta testar o recurso wifi para ver se e rapido e netflix alem de internet em geral logo logo terei tempo,"imagem
audio"
"Começando pelo valor muito bom, a entrega nem se fala. A Americanas sempre surpreende na rapidez das entregas. Produto de ótima qualidade, embalado corretamente e atendeu as expectativas.","valor
entrega
produto
produto"
"Excelente produto, linda e foi entregue bem antes do prazo",produto
Imagem e som com qualidade. O Wi-Fi funciona perfeitamente. Recomendo pelo ótimo custo beneficio para TVde 32”.,"imagem
som
wi-fi
custo beneficio"
Essa smart tv é muito boa... Atendeu perfeitamente nossa expectativa... Realmente um bela experiência de compra nas Americanas. Sou mais admirador ainda da Samsung.,smart tv
"A TV é boa, pena que tem poucas portas de saída!!!","tv
portas de saída"
"agora a minha casa só tem samsung, imagem maravilhosa, facil de usar. gostei muito",imagem
Ótimo produto! De facil manuseio. Som bom para uma TV. A função de conexao com smartphone/outros aparelhos funciona perfeitamente! Otima qualidade e entrega rapida. Cumpre o que promete.,"produto
manuseio
som
função de conexao com smartphone/outros
entrega"
"Excelente qualidade,prazo de entrega rápido,a embalagem é bem segura. Netiflix e Youtube pegam super bem,ótima imagem,e excelente conexão pela wi-fi. Estou totalmente satisfeita com minha compra.","entrega
embalagem
imagem
conexão
compra"
"Amei essa tv, é tudo de bom, entrega rápida! Bom atendimento.","tv
tv
entrega
atendimento"
Parabéns pelo venda tv muito boa nota 10 entrega rapido.,"tv
entrega"
"Preço bom, excelente qualidade de imagem e som, além de contar com os beneficios da internet, youtube, netflix, facebook e etc.....","preço
imagem
som
beneficios da internet"
"Gostei muito do produto, excelente qualidade. produto respondeu as minhas expectativas","produto
produto"
"Otimo aparelho e custo beneficio, excelente aparelho, entra na internet facilmente","aparelho
custo beneficio
aparelho"
O produto foi realmente aquilo que eu esperava...estou muito satisfeita.,""
"Satisfeitíssima com o produto, estou muito feliz. Entrega muito rápida. Nota 10.","produto
entrega"
"A TV é ótima, porém os óculos é desconfortável, pois precisa trocar a bateria sempre. De resto, dou nota 10.","tv
óculos
óculos"
Atendeu muito bem minhas expectativas. Além de ser super moderna e muita fácil de útilizar,""
"A tv é um ótimo custo benefício, o que podia ser melhor é a saida de som e a velocidade para se conectar ao aplicativos.","custo benefício
saida de som
velocidade"
Veio com uma fonte externa para proteger de um eventual pico de energia.,""
Trata-se de um produto que alia qualidade e performance com um preço bastante satisfatório,"produto
preço"
"Produto excelente, dentro das nossas expectativas! Entrega rápida e eficiente. Estamos muito satisfeitos! Obrigada.","produto
entrega"
produto muito bom e chegou bem antes do prazo pré-determinado.,produto
Uma boa aquisição para a oportunidade na qual encontrei-me para adquirir um produto de boa qualidade.,produto
"muito satisfeita com o produto e como sempre chegou bem antes do prazo, muito bom",produto
Única coisa que poderia ser melhor. A smart que é muito boa mas lenta.,smart
"TV EM GERAL MUITO BOA, FACIL ACESSO E BOA RESPOSTA DOS APPS. RESSALVO A QUALIDADE DO SOM, MUITO FRACO E ACABA SENDO NITIDO A BAIXA QUALIDADE EM SONS GRAVES.","tv
apps
som
sons graves"
Fácil de interagir boa imagem. Tamanho excelente para pequenos ambientes,"imagem
tamanho"
Até agora produto excelente não deu problema algum entrega rápida muito bom mesmo,"produto
entrega"
"Excelente produto, fiquei muito satisfeito, negociação ocorreu sem problemas, recomendo",produto
Tv estava funcionando normamalmente qndo de repente nao ligou mais . aff,tv
"Produto entregue antes do prazo, como sempre na Americanas.com, ótima qualidade corresponde perfeitamente ao anunciado.",""
"Produto veio rápido e funciona em perfeitas condições. Porém, nao responde aos comandos de forma rápida e o controle não é bem intuitivo.","produto
comandos
controle"
Um excelente produto estou muito satisfeito muito obrigado pela atenção,"produto
produto"
Exelente produto chegou direitinho antes do prazo final eu recomendo ja comprei varios produtos na americanas.com e vou comprar mto mais ainda mto fácil e pratico ...,produto
"Além de ter chegado antes do prazo, a tv e muito boa imagem excelente, o áudio é um pouco ruim, mas acredito ser por causa do tamanho.","tv
imagem
áudio"
"A descrição e o que o produto realmente tem,atendeu minhas expectativas tando que comprei outra",""
"Faz o que é proposto, tudo ok. Imagem boa pelo tamanho, conecta bem na internet...","imagem
internet"
Americanas.com.br está de parabéns pela entrega. Chegou muito antes do prazo. A Smart é excelente em todos os requisitos. Recomendo.,"entrega
smart"
o produto chegou totalmente danificado motivo pelo qual cancelei a compra e devolvi o mesmo,""
"Adorei, recomendo. Produto de ótima qualidade, leve e com designer atraente.","produto
designer"
Ja conheço e um bom produto. A gente pode comprar tranquila.,produto
"O produto chegou bem antes do prazo. TV conforme especificações, ótimo custo benefício para quem não precisa de uma TV grande.","tv
custo benefício"
"entrega mto mto rapida, produto mto bom, veio tudo conforme mostra na propaganda","entrega
produto"
Atendeu minhas expectativas. Estou satisfeito. Recomendo como smart TV de entrada para quem nunca teve uma.,smart tv
Ótima para ambiente com pouco espaço e é muito leve.,""
"Gostei muito da minha Smart, a imagem é muito boa e a entrega foi bem antes do prazo estimado, Americanas está de parabéns.","smart
imagem
entrega"
"melhor aquisição a ser feita, produto de alta qualidade e excelente custo beneficio","produto
custo beneficio"
"É bonito, boa imagem...porem decepcionada com o áudio.... muito fraco... chega a chiar mesmo fazendo regulagens na opções de som. De resto, muto bom!","imagem
áudio
áudio"
"produto em perfeito estado, apesar do rastreamento ter sido em vão, imagem excelente","produto
imagem"
excelente produto ótima entrega foi entregue em 2 dias e o prazo era 6 parabens,"produto
entrega"
"Atendeu a minha expectativa, qualidade de imagem e som bons, claro que levando em consideração o custo benefício... Em relação a conexão com a internet, por enquanto rodando bem, e ela está instalada no meu terraço, e o roteador dentro da minha residencia SATISFEITO!","qualidade de imagem
som"
"O único ponto negativo é o Áudio da TV, pois não é muito bom. Quando coloca em determinada altura o som parece ter ruídos. A imagem é boa e conecta facilmente na internet.","áudio
áudio
som
imagem"
"O som desta smart tevê Samsung é horrível! Parece um rádio de pilha antigo. O som é muito agudo e não tem opção de deixar mais grave. Creio que o problema é com a tamanho 32”, pois tenho outras maiores da mesma marca que não são assim. Comprei pelo site e só fui instalar uma semana depois. Fui depois em lojas físicas para saber se outras também são assim e a decepção foi enorme: todas as de 32” são assim. O som chega a doer os ouvidos. Além de ser baixo volume, se você aumentar o som a tevê começa a vibrar o plástico leve que é feito. Infelizmente só vi os comentários ruins sobre esta smart tevê depois, pois pensava que não teria como a Samsung fazer algo tão sem qualidade. Pesquise outras marcas para uma smart tevê de 32”. Tem outras com som muito bom e com melhor preço. Conselho: Esqueça que esta existe!","som
som
som"
"Produto Não Deixa nada a desejar, exelente, gostei em ter comprado nas Américanas. Entrega no prazo, perfeito, estão de parabéns.","produto
entrega"
Muito bom a entrega foi bem antes do prazo estipulado e produto foi excelente.,"entrega
produto"
"Comprei esta TV para meu escritório para apresentar meus projetos 3D de residências e interiores para meus clientes, porém ela apresenta pixels muito grandes, fazendo com que a imagem perca definição, ficando com aspecto serrilhado. Não gostei e estou decepcionado com o produto! Se eu pudesse, trocaria este produto!","imagem
produto
produto"
Recomendo o produto supriu as minhas necessidades e as Lojas Americanas com entrega antes do prazo.,"produto
entrega"
Os televisores da sangsung não possuem bom áudio e algumas televisões depois de algum tempo apresentam listas verticais na tela. Hoje eu compraria televisores de outras marcas.,"áudio
tela"
A TV muito boa recebi antes do Prazo as americanas nunca decepciona,tv
"Adorei a qualidade da Tv, fácil estalação. Recomendo com certeza.","tv
estalação"
"A MINHA CHEGOU ONTEM, TESTEI SMART, TUDO OK, ASSISTI VARIOS FILMES E VIDEOS NO YOTUBE, NAO TRAVOU EM NENHUM MOMENTO, A UNICA COISA QUE NAO GOSTEI E QUE PRECISA DE ANTENA OU CABO PARA PEGAR A TV, E NAO VEIO OS PARAFUSOS PARA FIXAR O PE, MAS DEI UM JEITO, DO RESTO E MUITO BOA SIM, DEPENDE DA SUA INTERNET PARA SER RAPIDA!!",""
"Prazo de entrega antecipado pelo o que foi previsto, e produto de excelente qualidade!","prazo de entrega
produto"
"Comprei para embutir no armário do quarto da minha filha. Excelente produto. Navegador fácil e ótimo acesso à internet, em especial à Netflix e You Tube. Ótimos recursos.","produto
navegador
acesso à internet
recursos"
"Todas as funções descritas funcionam mesmo, wi-fi, smartv (netflix, youtube). Não é das tvs mais rápidas, mas nada que incomode. Sobre o atendimento e rapidez do submarino, os caras praticamente teletransporta seu produto até a sua casa, entrega com 48 horas, e me deram 11 dias uteis.","wi-fi
smartv
entrega"
"Gostei muito da tv, já tinha uma e resolvi comprar mais uma devido a qualidade do produto, chegou antes do prazo.",tv
"Já havia pesquisando muito sobre a tv e realmente é muito boa. Só um pouco lenta. Mas devido o preço não é de esperar tanta velocidade. O som já sabia que não era tão alto, mas é bom. Só espero que dure bastante. Podem comprar.","tv
som
som"
gostei muito do produto e da agilidade que vcs entregou,produto
Indico o produto para todos e o atendimento das Americanas de excelente garantia.,"produto
garantia"
"Muito bom. Adorei poder acessar a internet pela TV. O tamanho é bom. A única coisa inconveniente é que ela é com fonte (como se fosse computador), então o consumo de energia é maior que uma tv comum. O resto é 10.","tamanho
fonte
consumo de energia"
"Excelente compra, o produto e muito bom e a entrega foi bem rápida, bem antes do prazo. Bastante satisfeito.","produto
entrega
entrega"
"excelente produto, de acordo com a descrição que a loja fez referencia",produto
"TV Smart com alta tecnologia com conexão internet, redes sociais e outros. recomendo",""
"O produto é muito bom, porém o som é muito baixo e infelizmente não é Full HD. Porém para o valor, é um dos melhores custo benefícios.","produto
som
custo benefícios"
"Produto inteligente, ativado automaticamente via internet, facilita toda a programação do aparelho.",produto
"A melhor,pode confiar .Para ver a copa melhor, vá com a Samsung",""
"Comprei no domingo, recebi na quinta, excelente produto. Mto bom...",produto
"Excelente aparelho, tv fina e muito leve, entrega super no prazo","aparelho
tv
entrega"
"Tv perfeita para quartos. Tamanho excelente, visão limpa, som de qualidade e por ser smart é ainda melhor. Funciona muitos apps, o que eu mais uso é o netflix. Lojas americanas entregou muito antes do prazo. Meus parabéns!!! Farei outras compras e indicarei para muitos amigos.","tv
tamanho
visão
som
smart
apps"
Adorei a TV. Imagem e som perfeitos. Me atendeu em tudo. Parabéns.,"tv
imagem
som"
Satisfeito com o produto e com o atendimento e entrega da Americanas.com.,"produto
atendimento
entrega"
"Bonita, moderna, imagem linda essa TV! Podem comprar pois super recomendo, além do mais tenho boas experiências com os produtos da sansung, parabenizo as americanas pela rapidez na entrega foi tudo ótimo sem nem um transtorno apenas comodidade.","imagem
entrega"
gostei muito do produto porque o mesmo apresenta recursos interessante como por exemplo netflyx.,"produto
recursos"
Produto muito bom! Entrega rapida e garantia de entrega pelo submarino.,"produto
entrega"
"cumpre tudo o que promete, ótimo custo beneficio, recomendaria com certeza",custo beneficio
Gostei bastante da TV. Só que é um pouco lenta para o acesso a internet.,"tv
acesso a internet"
Entrega nota 10. Imagem 10 som 10. Perfeita estou mutissimo satisfeita,"entrega
imagem
som"
O produto Samsung é excelente e difícil dar algum problema e muito bom,produto samsung
"Recomendo, foi tudo perfeito como eu esperava, tanto a loja como o ar condicionado, tudo otimo, por isso q compro nas Americanas,",""
A TV e boa qualidade tbm porém existe um bug que não identifiquei se e do youtudo app ou da tv as vezes ao tentar conectar o celular com o YouTube não funciona e vc tem que fazer algumas tentativas pra conectar... Se alguem notou esse problema tbm deixem seu comentários.,"tv
tv"
"Produto de boa qualidade, recomendo.!!! Obs: O audio é baixo.!!!!! Fica a dica!!!","produto
audio"
"O produto atendeu quase todas as minhas expectativas, exceto a posição do cabo hdmi que fica atrás da tv e não na lateral, como outros modelos, e como ela fica pendurada no painel, não consigo fazer a ligação do cabo hdmi na tv interligado ao pc.","produto
cabo hdmi"
"Gostei muito,atendeu minhas expectativa,foi colocada no quarto de hóspede.Estão adorando!",""
Funciona muito bem! É muito leve e bonita! Produto excelente!,produto
"Imagem de qualidade tudo muito bom, mas o som, não presta, tive que comprar um soundbar samsung para ter uma qualidade boa.","imagem
som"
"Infelizmente, não encontrei nenhuma Smart TV 32"""" com resolução Full HD ( 1080p ). O som é bom.",som
Muito bom. Só demora 1 min para entrar na smart. Mas imagem ótima.,"smart
imagem"
Indico para quem quiser uma Smart TV de muita qualidade e bem leve,smart tv
"A TV ´excelente, aplicativos ótimos, funcionando perfeitamente. E a Americanas como sempre, sem deixar a desejar, entrega super rápida, bem antes do prazo, e o produto chegou impecável. E ainda tem a praticidade de acompanhar o passo a passo da entrega pelo site. Recomendo muito!!!!!!","tv
aplicativos
entrega
produto"
era o que esperava do produto... abraço abraço abraço abraço abraço!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,produto
"O modelo da televisão já não tem mais o spotify, e a TV abaixa o volume sozinha entre uma música e outra quando no app do Youtube pelo Smarthub. Do restante nada a reclamar, cumpre com as expectativas.",spotify
"BOM DIA! ATÉ AGORA NÃO ME ARREPENDI DE TER ADQUIRIDO ESSA TV. IMAGEM ÓTIMA,RESOLUÇÃO MARAVILHOSA ATENDEU AS MINHAS EXPECTATIVAS,RECOMENDO,ENTREGA DENTRO DO PRAZO.","imagem
resolução
entrega"
Produto muito bom super satisfeita super recomendo chegou bem rápido e até antes do prazo.,produto
Gostei muito. Atendeu minhas expectativas. Chegou bem antes do prometido.,""
"A entrega foi super rápida, chegou em menos de uma semana. Mas o produto deixa um pouco a desejar, achei que por ser SAMSUNG estaria fazendo uma boa compra, mas ela trava bastante, as vezes nem reconhece o comando para ligar, ou aumentar o volume, quando entra no youtube ela abaixa o volume sozinha... Pensei que o problema era a minha, iria até atras da assistência, mas conversei com amigos que também tem e disseram a mesma coisa, TRAVA BASTANTE, E AS VEZES NÃO RECONHECE OS COMANDOS DO CONTROLE, OU DEMORA MUITO PARA RECONHECER.","entrega
produto
comandos do controle"
Excelente produto.Fácil de sintonizar e cheio de opções com o sistema smart . Adoooooooro.,"produto
sistema smart"
a TELEVISÃO DISPENSA COMENTARIOS. Excelente. Compro do Submarino há muito tempo. Estou muito satisfeito. Inclusive quanto a utilização do Cartao. Obrigado;,televisão
"Boa imagem, bonita, leve, porém, o som é ruim, processador um pouco lento na função smart.","imagem
som
processador"
"Bom eu sou suspeito para avaliar a marrca SAmsung ela já é minha parceira a mais de 20 anos, todos os televisores e monitores que eu possuo são dessas marcas, pois com certeza é o melhor custo benefício do mercado. E essa TV não é diferente, excelente, fácil de usar e instalar, com explicações rápidas e fáceis um e-manual fantástico que resolver todos os problemas iniciais, uma imagem maravilhosa, se você quer uma TV e não quer se preocupar com instalação manutenção e outras coisas compre SAMSUNG","custo benefício
tv
usar
instalar
explicações
e-manual
imagem"
"Gostei muito do produto , e parabenizo também o atendimento do Shoptime , entrega rápida, superou minhas expectativas!","produto
atendimento
entrega"
Muito boa esta televisão... facil de programar e muito eficiente. Atendeu as minhas expectativas.,"televisão
programar"
Facil de manusear. Otima para assistir filmes no telecineplay. Tv muito bom em imagem e som,"imagem
som"
Gostei muito do produto. E a entrega rápida. Parabéns Submarino,"produto
entrega"
"Um ótimo produto, entrega super rápida chegou em 5 dias, até agora não tive problemas espero não ter, só o som que deixa um pouco a desejar, mas é muito boa!","produto
entrega
som"
"produto muito bom, atendeu minha expectativa para o quarto de minha filha. instalação da smart tv sem complicações, recomendo o produto.","produto
instalação
produto"
Entrega rápida e ótimo produto. Só não consegui assistir a canais sem antena.,"entrega
produto
canais"
"Muito fácil de mexer, chegou com o tempo previsto, leve e linda!!!!",""
"Excelente imagem e muito boa conectividade wifi, fácil instalação e configuração.","imagem
conectividade wifi
instalação
configuração"
"Além de ser um super produto, o mesmo foi entregue em 6 dias corridos sendo que o prazo era de 39 dias úteis. Super recomendo. Loja Americanas Melhor Loja ❤❤",produto
"A televisão é ótima. É minha primeira smart, então não tenho como comparar e saber se todas são do mesmo jeito, mas para você acessar o Hub (aplicativos) precisa esperar um pouco após ligar, pq senão fica aparecendo a mensagem que a televisão está sendo preparada e eu estava achando que o problema era na minha internet. E a entrega muito rápida também.","televisão
hub
entrega"
"Ótima TV, para um quarto é perfeita. Smart funciona muito bem.","tv
smart"
"PRODUTO EXCELENTE, CHEGOU MUITO RÁPIDO. ATINGIU TODAS AS MINHAS EXPECTATIVAS. SUPER RECOMENDO.",produto
"gostei muito.. tv muito boa, entrega muito rapida como sempre;;;;;;","tv
entrega"
exelente qualidade muito boa otimo preços foi o lugar mais que encontrei na americana entrega super rapida muito satisfeita nota mil,"preços
entrega"
"imagem 100% digital, proporções adequadas para aparelho eu recomendo a todos que se querem ter um aparelho de verdade com nas lojas Americanas excelentes produtos e marcas.","imagem
proporções
produtos
marcas"
"Bom produto e entregar rápida do não acho que devo ficar escrevendo um texto gigante para pode avaliar o produto, espero que na próxima compra não venha me obrigando a faculdade ficar fazendo uma redação para avaliação um produto.","produto
entregar"
Produto com excelente desing alta definição de imagem e som.,"desing
definição
imagem
som"
Adorei o produto. Podem comprar sem medo. Fiquei muito feliz com este produto e doi entregue dentro do prazo estabelecido.,"produto
produto"
"Qualidade não tem igual, muito bom. Acabamento fino e recursos incríveis, principalmente o recurso futebol. Entrega super rápida pela Americanas. Obrigado.","acabamento
recursos
entrega"
"Excelente produto, além de ser leve e de fácil manuseio, tem uma imagem muito boa e é perfeita para o que preciso. Recomendo!!","produto
manuseio
imagem"
"Amei minha tv, ela é maravilhosa, além da entrega do submarino ser super rápida!","tv
entrega"
Muito bom produto principalmente ao instalar no quarto onde a tela é muito nitida e com cores vivas.,"produto
tela"
"Excelentes imagens, em momentos de muita movimentação, sua frequência de imagem melhora a qualidade. Cores vivas.","imagens
frequência de imagem
cores"
"Produto com custo/ benefício muito bom, de fácil manuseio, excedendo a minha expectativa.","custo/ benefício
manuseio"
"Bom produto. Porém, os aplicativos como a globo play devem ser baixados não vem na tv.","produto
aplicativos"
"As tvs Samsung vem com vicio o culto. Liga e desliga sem para. A sua vai durar no máximo um ano e começa o problema, aí voce já não tem mais garantia e fica no prejuiso. Arrependimento eterno!",""
"Qualidade do som péssima, menu lento trava toda hora, não conecta no wi fi, produto muito abaixo do esperado, me decepcionei com a Samsung, não recomendo.","som
menu
wi fi
produto
samsung"
"Produto maravilhoso, superou minhas expectativas, a entrega foi rápida, adorei!!","produto
entrega"
"Comprei uma tv Samsung justamente pela força da marca e quando recebi o produto fiquei decepcionada. O som estoura mesmo em níveis baixos-médios e os após do smarthub travam muito, sendo necessário reiniciar a tv varias vezes.","produto
som
smarthub"
"Corresponde a todas as expectativas, tanto o produto quanto o tempo de entrega do produto realizado antes do prazo previsto.","produto
tempo de entrega"
"Somente o som deixou um pouco a desejar, mas no mais tudo certo",som
tudo de bom adorei boa imagem exelente audio !!! super recomendo,"imagem
audio"
"Otimo produto, e entrega super rapida. Submarino esta de parabens, recomendo a todos.","produto
entrega"
um bom produto satisfaz as minhas necessidades a entrega foi bem rapida,"produto
produto
entrega"
"O produto é maravilhoso e o atendimento Submarino também. Recebi e-mails diariamente informando a situação da entrega e recebi muito antes do esperado, mesmo com feriados de Natal e Ano Novo. Fiquei muito satisfeita. Recomendo!!!",produto
Muito boa a TV e a entrega bem antes do combinado.,"tv
entrega"
ótimo produto. Comprei essa televisão e a imagem dela surpreendeu bastante.,"produto
imagem"
"Atendeu minhas expectativas, desde que compro nuca fiquei desapontada com meus pedidos.",""
Então ate o exato momento a TV esta sendo ótima boa nos aplicativos navegação designer,"tv
aplicativos
navegação
designer"
"Recomendo de todos olhos fechados, produto excelente de boa qualidade e entrega no prazo.","produto
entrega"
